EmployeeNumber,Age,Department,JobRole,MonthlyIncome,YearsAtCompany,MaritalStatus,OverTime,BusinessTravel,JobSatisfaction,WorkLifeBalance,YearsSinceLastPromotion,Risk_Score,Risk_Category
1756,33,Sales,Sales Executive,5147,11,Single,false,Non-Travel,2,2,1,3,Medium Risk
121,30,Sales,Sales Executive,5209,11,Divorced,true,Travel_Rarely,2,2,2,3,Medium Risk
425,45,Research & Development,Laboratory Technician,5210,24,Divorced,false,Travel_Frequently,1,3,9,3,Medium Risk
436,32,Sales,Sales Executive,5228,13,Married,true,Travel_Rarely,2,3,11,3,Medium Risk
1736,31,Research & Development,Manufacturing Director,5238,5,Single,false,Travel_Frequently,4,2,1,3,Medium Risk
1613,31,Sales,Sales Executive,5332,5,Single,false,Travel_Frequently,1,3,0,3,Medium Risk
2065,49,Sales,Sales Executive,5390,9,Married,false,Travel_Frequently,2,2,0,3,Medium Risk
1998,42,Research & Development,Research Scientist,5410,4,Divorced,true,Travel_Rarely,1,2,1,3,Medium Risk
120,51,Sales,Sales Executive,5441,10,Single,true,Travel_Rarely,4,1,1,3,Medium Risk
68,44,Sales,Sales Executive,5454,4,Divorced,true,Travel_Rarely,1,2,1,3,Medium Risk
1392,41,Research & Development,Research Scientist,5467,6,Divorced,true,Travel_Frequently,4,2,3,3,Medium Risk
91,59,Sales,Sales Executive,5473,4,Single,false,Travel_Frequently,3,2,1,3,Medium Risk
998,33,Research & Development,Healthcare Representative,5488,6,Married,true,Travel_Frequently,2,3,1,3,Medium Risk
1594,36,Research & Development,Laboratory Technician,5562,3,Married,true,Travel_Frequently,1,3,0,3,Medium Risk
630,52,Research & Development,Research Scientist,5577,10,Divorced,true,Travel_Rarely,1,3,6,3,Medium Risk
382,38,Sales,Sales Executive,5605,8,Divorced,true,Travel_Rarely,1,3,7,3,Medium Risk
663,43,Research & Development,Laboratory Technician,5679,8,Divorced,true,Travel_Frequently,3,3,4,3,Medium Risk
1932,34,Research & Development,Research Scientist,5747,15,Married,true,Travel_Frequently,4,3,6,3,Medium Risk
1611,45,Research & Development,Laboratory Technician,5769,10,Single,true,Travel_Rarely,1,3,1,3,Medium Risk
62,46,Sales,Sales Executive,5772,9,Single,true,Travel_Frequently,4,3,0,3,Medium Risk
961,31,Research & Development,Healthcare Representative,5855,9,Married,true,Travel_Rarely,4,1,8,3,Medium Risk
852,44,Research & Development,Healthcare Representative,5933,5,Single,false,Travel_Rarely,2,2,2,3,Medium Risk
474,37,Research & Development,Research Scientist,5974,7,Divorced,true,Travel_Rarely,1,3,6,3,Medium Risk
466,41,Research & Development,Manufacturing Director,6032,5,Single,true,Travel_Rarely,2,3,1,3,Medium Risk
1356,34,Sales,Sales Executive,6125,10,Single,false,Travel_Rarely,1,4,9,3,Medium Risk
1329,41,Sales,Sales Executive,6151,19,Single,false,Non-Travel,2,3,11,3,Medium Risk
857,36,Sales,Sales Executive,6201,18,Married,true,Travel_Rarely,4,2,4,3,Medium Risk
837,38,Research & Development,Healthcare Representative,6288,4,Divorced,false,Travel_Frequently,1,2,1,3,Medium Risk
1753,29,Research & Development,Healthcare Representative,6294,3,Single,true,Travel_Frequently,3,4,0,3,Medium Risk
184,30,Human Resources,Human Resources,6347,11,Married,true,Travel_Rarely,4,1,4,3,Medium Risk
384,26,Research & Development,Manufacturing Director,6397,6,Divorced,false,Travel_Frequently,2,1,1,3,Medium Risk
635,37,Research & Development,Manufacturing Director,6447,6,Married,false,Travel_Rarely,2,2,4,3,Medium Risk
85,36,Research & Development,Manufacturing Director,6499,6,Single,false,Travel_Frequently,2,3,0,3,Medium Risk
889,32,Sales,Sales Executive,6524,10,Married,false,Travel_Frequently,2,3,5,3,Medium Risk
347,42,Research & Development,Research Scientist,6545,3,Single,true,Travel_Rarely,1,3,0,3,Medium Risk
170,49,Research & Development,Manufacturing Director,6567,15,Married,false,Travel_Rarely,1,2,5,3,Medium Risk
924,36,Research & Development,Healthcare Representative,6586,16,Married,true,Travel_Rarely,4,2,4,3,Medium Risk
1132,39,Research & Development,Laboratory Technician,6782,5,Single,false,Non-Travel,2,2,0,3,Medium Risk
764,27,Research & Development,Healthcare Representative,6811,7,Single,false,Travel_Rarely,1,1,0,3,Medium Risk
1251,31,Research & Development,Healthcare Representative,6833,6,Married,true,Travel_Rarely,1,2,0,3,Medium Risk
1814,41,Research & Development,Healthcare Representative,6870,3,Single,false,Travel_Rarely,2,1,1,3,Medium Risk
833,30,Research & Development,Manufacturing Director,6877,0,Single,true,Travel_Rarely,4,2,0,3,Medium Risk
1050,53,Sales,Sales Executive,7525,15,Married,false,Travel_Frequently,2,3,6,3,Medium Risk
904,37,Sales,Sales Executive,7642,10,Single,true,Non-Travel,2,3,0,3,Medium Risk
692,33,Research & Development,Healthcare Representative,7725,13,Divorced,false,Travel_Frequently,4,1,4,3,Medium Risk
1103,34,Research & Development,Healthcare Representative,7756,6,Single,false,Travel_Frequently,4,2,0,3,Medium Risk
1641,40,Research & Development,Manufacturing Director,7945,4,Single,true,Travel_Rarely,4,2,3,3,Medium Risk
1419,29,Human Resources,Human Resources,7988,10,Single,false,Travel_Rarely,1,2,0,3,Medium Risk
406,35,Sales,Sales Executive,8020,11,Married,false,Travel_Rarely,2,2,6,3,Medium Risk
1790,36,Research & Development,Healthcare Representative,8321,12,Married,true,Travel_Rarely,1,3,5,3,Medium Risk
682,53,Sales,Sales Executive,8381,14,Single,false,Travel_Rarely,1,4,8,3,Medium Risk
1066,40,Sales,Sales Executive,8396,7,Married,false,Travel_Rarely,1,2,7,3,Medium Risk
1529,35,Research & Development,Healthcare Representative,8606,11,Single,false,Travel_Rarely,2,1,3,3,Medium Risk
717,34,Research & Development,Healthcare Representative,8621,8,Single,false,Travel_Rarely,2,4,7,3,Medium Risk
733,27,Research & Development,Manufacturing Director,8793,9,Divorced,false,Travel_Frequently,1,2,1,3,Medium Risk
1073,36,Research & Development,Manufacturing Director,8858,14,Single,false,Travel_Rarely,4,2,7,3,Medium Risk
74,35,Sales,Sales Executive,9069,9,Married,false,Travel_Frequently,1,2,1,3,Medium Risk
1425,36,Sales,Sales Executive,9278,5,Single,true,Travel_Rarely,2,3,0,3,Medium Risk
1324,31,Sales,Sales Executive,9852,10,Divorced,true,Non-Travel,3,2,9,3,Medium Risk
592,36,Sales,Sales Executive,9980,10,Single,false,Non-Travel,4,2,9,3,Medium Risk
1237,36,Research & Development,Manufacturing Director,10252,7,Divorced,true,Travel_Rarely,1,3,7,3,Medium Risk
573,60,Sales,Sales Executive,10266,18,Married,false,Travel_Frequently,1,4,13,3,Medium Risk
1827,47,Research & Development,Manufacturing Director,10333,22,Divorced,true,Travel_Rarely,2,3,14,3,Medium Risk
1243,35,Sales,Sales Executive,10377,13,Married,true,Non-Travel,4,2,4,3,Medium Risk
1014,35,Research & Development,Healthcare Representative,10388,16,Divorced,true,Travel_Rarely,3,2,10,3,Medium Risk
1118,52,Research & Development,Healthcare Representative,10445,8,Single,false,Travel_Rarely,2,3,4,3,Medium Risk
729,40,Sales,Sales Executive,10475,18,Married,true,Travel_Frequently,1,3,1,3,Medium Risk
1283,59,Research & Development,Manufacturing Director,10512,9,Single,false,Travel_Rarely,4,2,5,3,Medium Risk
343,39,Research & Development,Healthcare Representative,10938,19,Single,false,Travel_Frequently,3,3,11,3,Medium Risk
1606,50,Research & Development,Healthcare Representative,11245,30,Married,true,Travel_Frequently,3,3,12,3,Medium Risk
1015,30,Research & Development,Research Director,11416,8,Married,true,Travel_Rarely,1,2,1,3,Medium Risk
153,34,Research & Development,Manager,11631,11,Single,false,Travel_Rarely,1,3,5,3,Medium Risk
428,33,Research & Development,Manager,11878,10,Married,false,Travel_Frequently,2,3,8,3,Medium Risk
2000,47,Research & Development,Research Director,11957,13,Married,false,Non-Travel,2,1,5,3,Medium Risk
381,35,Research & Development,Manager,11996,7,Divorced,false,Travel_Rarely,2,2,6,3,Medium Risk
296,51,Research & Development,Research Director,12490,10,Married,false,Travel_Rarely,2,1,4,3,Medium Risk
1367,51,Research & Development,Manufacturing Director,13142,5,Single,false,Travel_Rarely,2,2,0,3,Medium Risk
1242,42,Research & Development,Research Director,13191,1,Married,true,Travel_Frequently,1,3,0,3,Medium Risk
1401,52,Research & Development,Manufacturing Director,13247,5,Married,true,Travel_Frequently,3,2,0,3,Medium Risk
1975,39,Sales,Sales Executive,13341,20,Single,false,Travel_Rarely,1,3,11,3,Medium Risk
1373,56,Research & Development,Manufacturing Director,13402,19,Married,true,Travel_Rarely,2,3,15,3,Medium Risk
1166,40,Research & Development,Research Director,13499,18,Single,false,Travel_Frequently,3,2,2,3,Medium Risk
404,42,Sales,Sales Executive,13525,20,Married,false,Travel_Frequently,2,4,4,3,Medium Risk
1278,55,Research & Development,Healthcare Representative,13577,33,Divorced,true,Non-Travel,2,3,15,3,Medium Risk
1032,59,Research & Development,Manufacturing Director,13726,5,Single,true,Travel_Rarely,4,3,4,3,Medium Risk
1824,58,Sales,Manager,16291,16,Divorced,false,Non-Travel,2,2,14,3,Medium Risk
1550,40,Human Resources,Manager,16437,21,Single,true,Travel_Rarely,4,3,7,3,Medium Risk
1719,45,Research & Development,Research Director,16704,21,Single,false,Travel_Rarely,2,3,8,3,Medium Risk
1074,55,Research & Development,Manager,16756,9,Single,false,Non-Travel,1,4,6,3,Medium Risk
597,55,Sales,Manager,16835,10,Single,false,Travel_Rarely,2,3,7,3,Medium Risk
158,43,Sales,Manager,16959,25,Married,true,Travel_Frequently,4,4,4,3,Medium Risk
429,39,Research & Development,Manager,17068,21,Married,true,Travel_Rarely,1,3,11,3,Medium Risk
1307,39,Research & Development,Manager,17123,19,Divorced,true,Travel_Rarely,2,3,15,3,Medium Risk
1422,54,Research & Development,Research Director,17328,20,Single,false,Travel_Rarely,4,2,12,3,Medium Risk
148,54,Human Resources,Manager,17328,5,Single,true,Non-Travel,4,3,4,3,Medium Risk
1602,46,Sales,Manager,17567,26,Single,false,Travel_Rarely,1,1,0,3,Medium Risk
1306,45,Research & Development,Manager,18061,0,Single,false,Travel_Frequently,2,3,0,3,Medium Risk
644,50,Human Resources,Manager,18200,32,Married,false,Travel_Frequently,2,3,10,3,Medium Risk
809,42,Research & Development,Manager,18430,24,Divorced,false,Travel_Frequently,4,2,14,3,Medium Risk
80,50,Research & Development,Research Director,18740,27,Divorced,true,Travel_Rarely,3,2,13,3,Medium Risk
38,46,Sales,Manager,18947,2,Single,false,Travel_Rarely,1,2,2,3,Medium Risk
329,52,Sales,Manager,19068,33,Single,true,Non-Travel,3,4,15,3,Medium Risk
1288,44,Research & Development,Manager,19190,25,Divorced,false,Travel_Rarely,1,2,14,3,Medium Risk
1061,50,Research & Development,Research Director,19237,8,Married,true,Travel_Rarely,3,2,7,3,Medium Risk
549,60,Research & Development,Manager,19566,29,Married,false,Travel_Rarely,1,1,11,3,Medium Risk
1338,56,Human Resources,Manager,19717,7,Single,false,Travel_Rarely,2,3,7,3,Medium Risk
226,50,Research & Development,Manager,19926,5,Single,false,Travel_Rarely,2,3,4,3,Medium Risk
1012,18,Research & Development,Research Scientist,1051,0,Single,false,Non-Travel,4,3,0,2,Low Risk
1056,28,Sales,Sales Representative,1052,1,Married,false,Travel_Rarely,2,3,0,2,Low Risk
1974,31,Research & Development,Laboratory Technician,1129,1,Divorced,true,Travel_Rarely,4,3,0,2,Low Risk
411,18,Sales,Sales Representative,1200,0,Single,false,Travel_Rarely,3,3,0,2,Low Risk
30,21,Research & Development,Research Scientist,1232,0,Single,false,Travel_Rarely,4,3,0,2,Low Risk
1482,30,Research & Development,Research Scientist,1274,1,Divorced,false,Non-Travel,3,2,0,2,Low Risk
1506,28,Research & Development,Research Scientist,1563,1,Divorced,false,Travel_Rarely,3,1,0,2,Low Risk
1368,18,Research & Development,Laboratory Technician,1611,0,Single,false,Non-Travel,4,4,0,2,Low Risk
850,27,Research & Development,Research Scientist,1706,0,Married,false,Non-Travel,4,2,0,2,Low Risk
1068,26,Research & Development,Research Scientist,2007,5,Divorced,false,Travel_Frequently,3,3,1,2,Low Risk
934,34,Research & Development,Laboratory Technician,2008,1,Divorced,false,Travel_Rarely,2,3,1,2,Low Risk
1994,33,Research & Development,Laboratory Technician,2008,1,Divorced,false,Non-Travel,3,2,0,2,Low Risk
1246,44,Research & Development,Research Scientist,2011,10,Married,false,Travel_Rarely,4,3,7,2,Low Risk
1698,33,Research & Development,Laboratory Technician,2028,14,Married,false,Travel_Rarely,2,3,2,2,Low Risk
1495,24,Sales,Sales Representative,2033,1,Married,false,Non-Travel,2,3,0,2,Low Risk
132,44,Research & Development,Laboratory Technician,2042,3,Married,false,Non-Travel,2,4,1,2,Low Risk
700,27,Research & Development,Research Scientist,2045,4,Single,false,Travel_Rarely,4,3,1,2,Low Risk
1441,56,Research & Development,Research Scientist,2066,3,Married,false,Travel_Rarely,1,4,1,2,Low Risk
377,28,Research & Development,Research Scientist,2070,5,Married,false,Travel_Rarely,4,2,0,2,Low Risk
680,30,Research & Development,Research Scientist,2083,1,Divorced,false,Travel_Frequently,3,3,0,2,Low Risk
591,42,Research & Development,Laboratory Technician,2093,2,Married,false,Travel_Frequently,3,3,2,2,Low Risk
562,30,Research & Development,Laboratory Technician,2097,5,Married,false,Non-Travel,4,1,1,2,Low Risk
1434,27,Research & Development,Laboratory Technician,2099,5,Married,false,Travel_Rarely,1,4,1,2,Low Risk
1856,47,Research & Development,Laboratory Technician,2105,2,Single,false,Travel_Rarely,3,3,2,2,Low Risk
1762,29,Research & Development,Research Scientist,2109,1,Divorced,false,Travel_Rarely,1,3,0,2,Low Risk
643,24,Research & Development,Laboratory Technician,2127,1,Married,false,Travel_Rarely,2,3,0,2,Low Risk
829,36,Human Resources,Human Resources,2143,5,Married,false,Travel_Rarely,2,3,0,2,Low Risk
1746,24,Human Resources,Human Resources,2145,2,Married,false,Travel_Frequently,4,3,2,2,Low Risk
974,29,Sales,Sales Representative,2157,3,Married,false,Travel_Frequently,4,3,0,2,Low Risk
655,27,Research & Development,Research Scientist,2187,5,Divorced,false,Travel_Rarely,3,2,0,2,Low Risk
1987,25,Human Resources,Human Resources,2187,2,Married,false,Travel_Rarely,2,3,1,2,Low Risk
495,29,Research & Development,Research Scientist,2201,3,Single,false,Travel_Rarely,4,3,1,2,Low Risk
41,30,Research & Development,Laboratory Technician,2206,10,Single,false,Travel_Rarely,3,3,1,2,Low Risk
1102,28,Research & Development,Laboratory Technician,2207,4,Divorced,false,Travel_Rarely,3,2,2,2,Low Risk
483,40,Research & Development,Laboratory Technician,2213,7,Married,true,Travel_Rarely,3,3,1,2,Low Risk
530,31,Research & Development,Laboratory Technician,2218,4,Married,false,Travel_Rarely,1,3,3,2,Low Risk
1055,34,Sales,Sales Representative,2220,1,Married,true,Travel_Rarely,3,3,0,2,Low Risk
216,34,Sales,Sales Representative,2231,4,Married,false,Travel_Frequently,3,3,1,2,Low Risk
200,41,Research & Development,Laboratory Technician,2238,5,Married,false,Travel_Rarely,1,3,1,2,Low Risk
511,22,Research & Development,Research Scientist,2244,2,Married,false,Travel_Rarely,2,3,1,2,Low Risk
525,43,Research & Development,Laboratory Technician,2258,3,Married,false,Travel_Frequently,4,3,1,2,Low Risk
945,48,Research & Development,Research Scientist,2259,0,Married,false,Travel_Rarely,3,2,0,2,Low Risk
321,59,Human Resources,Human Resources,2267,2,Married,false,Travel_Rarely,3,2,2,2,Low Risk
2013,32,Sales,Sales Representative,2269,2,Married,false,Travel_Rarely,2,3,2,2,Low Risk
1533,23,Research & Development,Laboratory Technician,2272,4,Single,false,Travel_Rarely,3,3,1,2,Low Risk
834,45,Research & Development,Research Scientist,2274,1,Single,false,Travel_Rarely,3,3,0,2,Low Risk
245,38,Research & Development,Laboratory Technician,2288,2,Single,false,Travel_Rarely,4,3,2,2,Low Risk
1772,41,Research & Development,Laboratory Technician,2289,5,Divorced,false,Travel_Rarely,1,3,0,2,Low Risk
1206,44,Research & Development,Research Scientist,2290,0,Single,false,Non-Travel,3,3,0,2,Low Risk
1551,24,Research & Development,Laboratory Technician,2296,1,Divorced,false,Travel_Rarely,1,3,0,2,Low Risk
766,29,Sales,Sales Representative,2297,2,Divorced,false,Travel_Rarely,2,3,2,2,Low Risk
933,27,Research & Development,Research Scientist,2318,1,Single,false,Travel_Rarely,3,3,0,2,Low Risk
113,23,Sales,Sales Representative,2322,0,Divorced,false,Travel_Rarely,1,3,0,2,Low Risk
941,31,Sales,Sales Representative,2329,7,Married,false,Travel_Rarely,3,4,5,2,Low Risk
951,32,Research & Development,Laboratory Technician,2332,3,Married,false,Non-Travel,2,3,0,2,Low Risk
346,29,Research & Development,Research Scientist,2340,6,Single,false,Travel_Rarely,4,3,1,2,Low Risk
54,27,Research & Development,Laboratory Technician,2341,1,Divorced,false,Travel_Rarely,1,3,0,2,Low Risk
878,36,Human Resources,Human Resources,2342,5,Married,false,Travel_Rarely,1,3,0,2,Low Risk
895,31,Research & Development,Research Scientist,2356,6,Married,true,Travel_Rarely,4,3,0,2,Low Risk
471,32,Research & Development,Laboratory Technician,2370,8,Married,false,Travel_Rarely,2,3,0,2,Low Risk
1185,35,Research & Development,Laboratory Technician,2376,2,Married,false,Travel_Frequently,4,4,2,2,Low Risk
1361,40,Research & Development,Laboratory Technician,2387,4,Married,false,Travel_Rarely,2,3,0,2,Low Risk
632,24,Sales,Sales Representative,2400,2,Married,false,Travel_Frequently,4,3,2,2,Low Risk
2012,40,Research & Development,Laboratory Technician,2406,1,Married,false,Travel_Rarely,4,2,0,2,Low Risk
14,35,Research & Development,Laboratory Technician,2426,5,Married,false,Travel_Rarely,2,3,0,2,Low Risk
1554,35,Sales,Sales Representative,2430,5,Married,false,Travel_Rarely,3,3,4,2,Low Risk
769,53,Research & Development,Laboratory Technician,2450,2,Single,false,Travel_Rarely,4,3,2,2,Low Risk
1558,29,Research & Development,Research Scientist,2451,1,Married,false,Travel_Rarely,3,2,0,2,Low Risk
508,30,Sales,Sales Representative,2476,1,Married,false,Travel_Rarely,2,3,0,2,Low Risk
39,33,Research & Development,Laboratory Technician,2496,1,Single,false,Travel_Rarely,4,3,0,2,Low Risk
758,23,Research & Development,Laboratory Technician,2500,4,Married,false,Travel_Rarely,1,4,0,2,Low Risk
242,33,Research & Development,Research Scientist,2500,3,Single,false,Travel_Rarely,4,4,0,2,Low Risk
826,35,Research & Development,Research Scientist,2506,2,Single,false,Travel_Rarely,3,3,2,2,Low Risk
958,36,Research & Development,Laboratory Technician,2519,11,Single,false,Travel_Rarely,3,3,3,2,Low Risk
2061,36,Research & Development,Laboratory Technician,2571,5,Married,false,Travel_Frequently,4,3,0,2,Low Risk
805,35,Sales,Sales Representative,2572,3,Married,false,Travel_Rarely,4,2,0,2,Low Risk
517,42,Research & Development,Laboratory Technician,2576,5,Divorced,false,Travel_Rarely,1,3,1,2,Low Risk
666,34,Sales,Sales Representative,2579,8,Divorced,true,Travel_Rarely,3,3,0,2,Low Risk
1265,34,Research & Development,Research Scientist,2585,1,Married,false,Travel_Rarely,3,2,0,2,Low Risk
1805,38,Human Resources,Human Resources,2592,11,Divorced,false,Non-Travel,2,3,3,2,Low Risk
1382,38,Research & Development,Research Scientist,2610,4,Divorced,false,Travel_Frequently,3,3,0,2,Low Risk
305,33,Research & Development,Research Scientist,2622,3,Married,false,Travel_Rarely,2,3,1,2,Low Risk
749,29,Sales,Sales Representative,2642,1,Single,false,Travel_Rarely,3,3,0,2,Low Risk
46,43,Research & Development,Research Scientist,2645,5,Divorced,false,Travel_Rarely,3,2,1,2,Low Risk
1982,23,Research & Development,Laboratory Technician,2647,5,Single,false,Travel_Rarely,4,4,1,2,Low Risk
544,45,Research & Development,Research Scientist,2654,2,Married,false,Travel_Rarely,4,2,0,2,Low Risk
686,26,Research & Development,Laboratory Technician,2659,3,Married,true,Travel_Rarely,4,3,0,2,Low Risk
2003,35,Research & Development,Laboratory Technician,2660,2,Married,true,Travel_Rarely,3,3,2,2,Low Risk
1226,20,Sales,Sales Representative,2678,2,Single,false,Travel_Rarely,4,3,2,2,Low Risk
1601,35,Research & Development,Laboratory Technician,2690,1,Married,false,Travel_Rarely,4,2,0,2,Low Risk
812,24,Research & Development,Laboratory Technician,2694,1,Divorced,false,Non-Travel,2,3,0,2,Low Risk
470,42,Human Resources,Human Resources,2696,3,Divorced,true,Travel_Rarely,3,3,1,2,Low Risk
94,29,Research & Development,Research Scientist,2703,5,Married,false,Travel_Rarely,2,3,0,2,Low Risk
221,28,Research & Development,Research Scientist,2713,5,Married,false,Travel_Rarely,4,1,0,2,Low Risk
198,30,Research & Development,Laboratory Technician,2720,5,Single,false,Travel_Rarely,4,3,1,2,Low Risk
710,29,Research & Development,Research Scientist,2720,10,Divorced,false,Travel_Frequently,4,3,2,2,Low Risk
353,51,Research & Development,Research Scientist,2723,1,Married,false,Travel_Rarely,4,2,0,2,Low Risk
639,24,Research & Development,Research Scientist,2725,6,Married,true,Travel_Rarely,4,3,1,2,Low Risk
281,40,Research & Development,Laboratory Technician,2741,7,Married,true,Travel_Rarely,4,4,3,2,Low Risk
252,33,Research & Development,Research Scientist,2756,8,Married,false,Travel_Rarely,2,3,1,2,Low Risk
579,34,Research & Development,Research Scientist,2768,7,Divorced,false,Travel_Rarely,3,3,5,2,Low Risk
1238,33,Research & Development,Research Scientist,2781,14,Married,false,Travel_Rarely,4,3,4,2,Low Risk
1657,20,Sales,Sales Representative,2783,2,Single,false,Travel_Rarely,3,3,2,2,Low Risk
1135,31,Sales,Sales Representative,2791,2,Married,false,Travel_Frequently,4,3,2,2,Low Risk
1865,29,Human Resources,Human Resources,2804,1,Married,false,Travel_Rarely,2,3,0,2,Low Risk
2048,40,Research & Development,Research Scientist,2809,2,Single,false,Travel_Rarely,3,3,2,2,Low Risk
1949,36,Research & Development,Laboratory Technician,2810,5,Married,false,Non-Travel,2,3,0,2,Low Risk
1001,27,Research & Development,Laboratory Technician,2811,2,Married,false,Travel_Rarely,2,3,2,2,Low Risk
705,23,Research & Development,Research Scientist,2819,3,Married,false,Travel_Rarely,1,4,0,2,Low Risk
1060,38,Research & Development,Research Scientist,2821,2,Married,false,Travel_Frequently,3,3,2,2,Low Risk
1190,32,Sales,Sales Representative,2827,1,Divorced,false,Non-Travel,1,3,0,2,Low Risk
1152,38,Human Resources,Human Resources,2844,7,Married,false,Travel_Rarely,3,4,5,2,Low Risk
1875,28,Sales,Sales Representative,2856,1,Married,false,Travel_Rarely,2,3,0,2,Low Risk
105,35,Research & Development,Research Scientist,2859,6,Single,false,Travel_Rarely,3,3,0,2,Low Risk
1729,30,Research & Development,Research Scientist,2862,10,Married,false,Travel_Rarely,4,2,0,2,Low Risk
144,22,Research & Development,Laboratory Technician,2871,0,Single,false,Travel_Rarely,4,3,0,2,Low Risk
560,26,Research & Development,Research Scientist,2886,3,Divorced,false,Travel_Rarely,4,1,0,2,Low Risk
1969,54,Research & Development,Research Scientist,2897,4,Married,false,Travel_Rarely,3,2,2,2,Low Risk
893,38,Sales,Sales Representative,2899,2,Married,false,Travel_Rarely,2,3,1,2,Low Risk
465,23,Research & Development,Research Scientist,2904,4,Divorced,false,Travel_Rarely,4,2,0,2,Low Risk
338,33,Research & Development,Research Scientist,2911,2,Married,false,Travel_Rarely,4,2,0,2,Low Risk
1701,34,Research & Development,Research Scientist,2929,10,Married,false,Travel_Rarely,4,3,8,2,Low Risk
1755,34,Research & Development,Research Scientist,2932,5,Married,true,Travel_Rarely,4,3,1,2,Low Risk
1854,42,Research & Development,Research Scientist,2936,6,Married,false,Non-Travel,3,2,3,2,Low Risk
177,26,Human Resources,Human Resources,2942,8,Married,false,Travel_Rarely,3,3,5,2,Low Risk
1071,56,Research & Development,Research Scientist,2942,5,Married,false,Travel_Frequently,3,3,0,2,Low Risk
2060,26,Sales,Sales Representative,2966,4,Single,false,Travel_Rarely,3,3,0,2,Low Risk
900,37,Sales,Sales Representative,2973,5,Married,false,Travel_Frequently,4,3,0,2,Low Risk
1394,37,Research & Development,Research Scientist,2996,6,Married,true,Travel_Rarely,3,3,1,2,Low Risk
61,37,Research & Development,Research Scientist,3022,1,Married,false,Travel_Rarely,2,3,0,2,Low Risk
231,32,Research & Development,Research Scientist,3038,5,Single,false,Travel_Rarely,3,3,1,2,Low Risk
1623,21,Research & Development,Research Scientist,3117,2,Single,false,Travel_Rarely,4,3,2,2,Low Risk
1471,44,Research & Development,Laboratory Technician,3162,5,Single,false,Non-Travel,3,3,0,2,Low Risk
888,24,Research & Development,Laboratory Technician,3162,5,Married,false,Non-Travel,4,2,3,2,Low Risk
1683,44,Human Resources,Human Resources,3195,2,Divorced,true,Travel_Rarely,4,3,2,2,Low Risk
1216,28,Research & Development,Laboratory Technician,3196,6,Married,false,Travel_Rarely,1,3,3,2,Low Risk
197,30,Research & Development,Research Scientist,3204,3,Divorced,false,Travel_Rarely,1,3,2,2,Low Risk
373,36,Research & Development,Laboratory Technician,3210,15,Married,false,Travel_Rarely,4,3,10,2,Low Risk
716,50,Research & Development,Laboratory Technician,3221,20,Married,true,Travel_Rarely,3,3,3,2,Low Risk
1415,25,Research & Development,Laboratory Technician,3229,3,Married,false,Travel_Rarely,4,2,0,2,Low Risk
379,21,Research & Development,Research Scientist,3230,3,Single,false,Travel_Rarely,3,4,1,2,Low Risk
797,34,Research & Development,Research Scientist,3280,4,Single,false,Travel_Rarely,4,3,1,2,Low Risk
1687,38,Research & Development,Laboratory Technician,3306,0,Married,false,Travel_Rarely,3,2,0,2,Low Risk
395,28,Research & Development,Research Scientist,3310,5,Single,false,Travel_Rarely,4,3,0,2,Low Risk
335,40,Research & Development,Research Scientist,3319,9,Divorced,false,Travel_Rarely,4,3,4,2,Low Risk
2007,22,Research & Development,Research Scientist,3375,3,Single,false,Travel_Rarely,3,4,1,2,Low Risk
1438,47,Research & Development,Research Scientist,3420,6,Married,false,Travel_Rarely,4,2,1,2,Low Risk
669,21,Sales,Sales Representative,3447,3,Single,false,Travel_Rarely,3,3,1,2,Low Risk
995,33,Research & Development,Research Scientist,3452,3,Single,false,Travel_Rarely,4,3,0,2,Low Risk
486,37,Research & Development,Laboratory Technician,3452,5,Married,false,Travel_Rarely,1,3,0,2,Low Risk
7,27,Research & Development,Laboratory Technician,3468,2,Married,false,Travel_Rarely,2,3,2,2,Low Risk
2019,52,Sales,Sales Representative,3482,9,Divorced,false,Non-Travel,4,2,0,2,Low Risk
784,23,Research & Development,Research Scientist,3505,2,Single,false,Travel_Rarely,3,3,0,2,Low Risk
1291,35,Research & Development,Research Scientist,3506,3,Married,true,Travel_Rarely,3,3,2,2,Low Risk
1694,55,Research & Development,Research Scientist,3537,4,Divorced,false,Travel_Rarely,2,3,1,2,Low Risk
1778,43,Human Resources,Human Resources,3539,9,Single,false,Travel_Rarely,4,3,1,2,Low Risk
1864,27,Sales,Sales Representative,3540,9,Married,false,Travel_Rarely,3,3,5,2,Low Risk
887,49,Research & Development,Research Scientist,3580,4,Married,false,Travel_Rarely,1,3,0,2,Low Risk
1834,28,Research & Development,Research Scientist,3591,3,Married,false,Travel_Rarely,1,3,1,2,Low Risk
649,34,Research & Development,Research Scientist,3622,6,Married,true,Travel_Rarely,4,3,1,2,Low Risk
1411,37,Research & Development,Laboratory Technician,3629,3,Single,false,Travel_Rarely,3,3,0,2,Low Risk
1097,28,Research & Development,Research Scientist,3660,8,Single,false,Travel_Rarely,3,4,1,2,Low Risk
1358,25,Research & Development,Laboratory Technician,3669,3,Married,false,Travel_Rarely,4,2,1,2,Low Risk
652,35,Research & Development,Laboratory Technician,3681,3,Single,false,Travel_Rarely,4,3,0,2,Low Risk
407,36,Research & Development,Laboratory Technician,3688,1,Married,false,Travel_Frequently,4,3,0,2,Low Risk
